000219002400000068704;10/11/2014;0000000003000
000219002400000068771;10/11/2014;0000000003000
000219002400000069085;10/11/2014;0000000003000
000219002400000069352;10/11/2014;0000000003000
00021900240000006945X;10/11/2014;0000000003000
000219002400000069492;10/11/2014;0000000003000
000219002400000069670;10/11/2014;0000000003000
000219002400000069921;10/11/2014;0000000003000
000219002400000070032;10/11/2014;0000000003000
000219002400000070091;10/11/2014;0000000003000
000219002400000070318;10/11/2014;0000000003000
000219002400000075263;10/11/2014;0000000003000
00021900240000007531X;10/11/2014;0000000003000
000219002400000078912;10/11/2014;0000000003000
000219002400000079137;10/11/2014;0000000003000
000219002400000079161;10/11/2014;0000000003000
